algorithm,collection,dataset,algo_training_type,algo_input_dimensionality,dataset_training_type,dataset_input_dimensionality,status,hyper_params_id,repetition,hyper_params,train_main_time,train_preprocess_time,train_postprocess_time,execute_main_time,execute_preprocess_time,execute_postprocess_time,ROC_AUC,RANGE_PR_AUC,BestF1Score,FalseNegativeRate,PR_AUC,result_path,BestF1MinusFNR
DenoisingAutoEncoder (DAE),OBSEA,2021-08-14,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,c8d37c7a26a5f51260539d3c90e37648,1,"{'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'latent_size': 22, 'learning_rate': 0.001, 'noise_ratio': 0.1, 'random_state': 42, 'split': 0.8}",18.038715362548828,,,8.571654319763184,,,,,0.0,0.0,0.5,../../../../TimeEval_work_results/for_Oracle/2024_05_24_08_40_45/results.csv,
DenoisingAutoEncoder (DAE),OBSEA,2021-08-17,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,c8d37c7a26a5f51260539d3c90e37648,1,"{'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'latent_size': 22, 'learning_rate': 0.001, 'noise_ratio': 0.1, 'random_state': 42, 'split': 0.8}",15.293216228485107,,,8.531736373901367,,,,,0.0,0.0,0.5,../../../../TimeEval_work_results/for_Oracle/2024_05_24_08_40_45/results.csv,
DenoisingAutoEncoder (DAE),OBSEA,2021-08-16,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,c8d37c7a26a5f51260539d3c90e37648,1,"{'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'latent_size': 22, 'learning_rate': 0.001, 'noise_ratio': 0.1, 'random_state': 42, 'split': 0.8}",16.126590490341187,,,8.365666389465332,,,,,0.0,0.0,0.5,../../../../TimeEval_work_results/for_Oracle/2024_05_24_08_40_45/results.csv,
COPOD,OBSEA,2023-11-01_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,4293618dd12c59117ac7a434fda4220a,1,{'random_state': 42},,,,19.82339859008789,,,,,0.0,0.0,0.5,../../../../TimeEval_work_results/for_Oracle23_1/2024_07_10_23_06_47/results.csv,
AutoEncoder (AE),OBSEA,2023-06-05,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,b98f98446ffdbf7f8a0cb80942138c22,1,"{'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'latent_size': 22, 'learning_rate': 0.001, 'random_state': 42, 'split': 0.8}",29.095999002456665,,,19.96648502349853,,,,,0.0,0.0,0.5,../../../../TimeEval_work_results/for_Oracle23_1/2024_07_11_00_09_30/results.csv,
DenoisingAutoEncoder (DAE),OBSEA,2021-02-09,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,c8d37c7a26a5f51260539d3c90e37648,1,"{'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'latent_size': 22, 'learning_rate': 0.001, 'noise_ratio': 0.1, 'random_state': 42, 'split': 0.8}",15.25371503829956,,,8.320162296295166,,,,,0.0,0.0,0.5,../../../../TimeEval_work_results/for_Oracle/2024_05_24_08_40_45/results.csv,
COPOD,OBSEA,2023-10-06_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,4293618dd12c59117ac7a434fda4220a,1,{'random_state': 42},,,,17.46109938621521,,,,,0.0,0.0,0.5,../../../../TimeEval_work_results/for_Oracle23_1/2024_07_10_22_40_43/results.csv,
HBOS,OBSEA,2023-10-06_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,cf425e384a70a0bc760418d597d853dd,1,"{'n_bins': 20, 'random_state': 42}",,,,21.61235547065735,,,,,0.0,0.0,0.5,../../../../TimeEval_work_results/for_Oracle23_1/2024_07_10_22_40_43/results.csv,
DenoisingAutoEncoder (DAE),OBSEA,2021-02-08,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,bafd0b5bab66633b17924ba1c20b0398,1,"{'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'latent_size': 41, 'learning_rate': 0.001, 'noise_ratio': 0.1, 'random_state': 42, 'split': 0.8}",24.086209297180176,,,8.326738834381104,,,,,0.0,0.0,0.5,../../../../TimeEval_work_results/for_Oracle/2024_05_24_08_40_45/results.csv,
LOF,OBSEA,2023-04-11_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,da57e09e2b4ad4d568a26dd67f170158,1,"{'distance_metric_order': 2, 'leaf_size': 20, 'n_jobs': 1, 'n_neighbors': 50, 'random_state': 42}",,,,9.74504542350769,,,,,0.0,0.0,0.5,../../../../TimeEval_work_results/for_Oracle23_1/2024_07_10_19_51_21/results.csv,
DenoisingAutoEncoder (DAE),OBSEA,2023-03-25,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,bafd0b5bab66633b17924ba1c20b0398,1,"{'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'latent_size': 41, 'learning_rate': 0.001, 'noise_ratio': 0.1, 'random_state': 42, 'split': 0.8}",29.592260122299194,,,15.135965585708618,,,,,0.0,0.0,0.5,../../../../TimeEval_work_results/for_Oracle23_1/2024_07_10_19_40_11/results.csv,
DenoisingAutoEncoder (DAE),OBSEA,2021-02-10,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,bafd0b5bab66633b17924ba1c20b0398,1,"{'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'latent_size': 41, 'learning_rate': 0.001, 'noise_ratio': 0.1, 'random_state': 42, 'split': 0.8}",23.48637700080872,,,8.376928329467773,,,,,0.0,0.0,0.5,../../../../TimeEval_work_results/for_Oracle/2024_05_24_08_40_45/results.csv,
HBOS,OBSEA,2023-04-20_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,cf425e384a70a0bc760418d597d853dd,1,"{'n_bins': 20, 'random_state': 42}",,,,16.431015014648438,,,,,0.0,0.0,0.5,../../../../TimeEval_work_results/for_Oracle23_1/2024_07_10_20_00_24/results.csv,
LOF,OBSEA,2023-01-20_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,da57e09e2b4ad4d568a26dd67f170158,1,"{'distance_metric_order': 2, 'leaf_size': 20, 'n_jobs': 1, 'n_neighbors': 50, 'random_state': 42}",,,,14.380056619644163,,,,,0.0,0.0,0.5,../../../../TimeEval_work_results/for_Oracle23_1/2024_07_10_18_37_13/results.csv,
AutoEncoder (AE),OBSEA,2023-03-17,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,dfdc9a9fdc00b09d9d188aaabfa8f91c,1,"{'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'latent_size': 32, 'learning_rate': 0.001, 'random_state': 42, 'split': 0.8}",38.097729206085205,,,15.25655198097229,,,,,0.0,0.0,0.5,../../../../TimeEval_work_results/for_Oracle23_1/2024_07_10_20_52_04/results.csv,
DenoisingAutoEncoder (DAE),OBSEA,2021-02-12,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,4612c4e06ea4131330882ffd0a43444a,1,"{'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'latent_size': 32, 'learning_rate': 0.001, 'noise_ratio': 0.1, 'random_state': 42, 'split': 0.8}",16.22930598258972,,,8.457513570785522,,,,,0.0,0.0,0.5,../../../../TimeEval_work_results/for_Oracle/2024_05_24_08_40_45/results.csv,
DenoisingAutoEncoder (DAE),OBSEA,2021-02-11,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,c8d37c7a26a5f51260539d3c90e37648,1,"{'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'latent_size': 22, 'learning_rate': 0.001, 'noise_ratio': 0.1, 'random_state': 42, 'split': 0.8}",14.698768615722656,,,8.517570972442627,,,,,0.0,0.0,0.5,../../../../TimeEval_work_results/for_Oracle/2024_05_24_08_40_45/results.csv,
COPOD,OBSEA,2023-04-20_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,4293618dd12c59117ac7a434fda4220a,1,{'random_state': 42},,,,12.05068039894104,,,,,0.0,0.0,0.5,../../../../TimeEval_work_results/for_Oracle23_1/2024_07_10_20_00_24/results.csv,
AutoEncoder (AE),OBSEA,2023-08-30,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,dfdc9a9fdc00b09d9d188aaabfa8f91c,1,"{'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'latent_size': 32, 'learning_rate': 0.001, 'random_state': 42, 'split': 0.8}",22.68019270896912,,,11.711513757705688,,,,,0.0,0.0,0.5,../../../../TimeEval_work_results/for_Oracle23_1/2024_07_11_02_40_19/results.csv,
LOF,OBSEA,2023-03-26_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,da57e09e2b4ad4d568a26dd67f170158,1,"{'distance_metric_order': 2, 'leaf_size': 20, 'n_jobs': 1, 'n_neighbors': 50, 'random_state': 42}",,,,12.382353067398071,,,,,0.0,0.0,0.5,../../../../TimeEval_work_results/for_Oracle23_1/2024_07_10_19_35_20/results.csv,
DenoisingAutoEncoder (DAE),OBSEA,2021-02-05,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,bafd0b5bab66633b17924ba1c20b0398,1,"{'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'latent_size': 41, 'learning_rate': 0.001, 'noise_ratio': 0.1, 'random_state': 42, 'split': 0.8}",20.950567960739136,,,8.334672689437866,,,,,0.0,0.0,0.5,../../../../TimeEval_work_results/for_Oracle/2024_05_24_08_40_45/results.csv,
DenoisingAutoEncoder (DAE),OBSEA,2021-02-07,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,c8d37c7a26a5f51260539d3c90e37648,1,"{'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'latent_size': 22, 'learning_rate': 0.001, 'noise_ratio': 0.1, 'random_state': 42, 'split': 0.8}",18.326934337615967,,,8.679454803466797,,,,,0.0,0.0,0.5,../../../../TimeEval_work_results/for_Oracle/2024_05_24_08_40_45/results.csv,
DenoisingAutoEncoder (DAE),OBSEA,2021-02-06,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,c8d37c7a26a5f51260539d3c90e37648,1,"{'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'latent_size': 22, 'learning_rate': 0.001, 'noise_ratio': 0.1, 'random_state': 42, 'split': 0.8}",17.608166694641113,,,8.205570220947266,,,,,0.0,0.0,0.5,../../../../TimeEval_work_results/for_Oracle/2024_05_24_08_40_45/results.csv,
HBOS,OBSEA,2023-01-20_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,cf425e384a70a0bc760418d597d853dd,1,"{'n_bins': 20, 'random_state': 42}",,,,15.725667476654053,,,,,0.0,0.0,0.5,../../../../TimeEval_work_results/for_Oracle23_1/2024_07_10_18_37_13/results.csv,
AutoEncoder (AE),OBSEA,2023-02-15,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,dfdc9a9fdc00b09d9d188aaabfa8f91c,1,"{'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'latent_size': 32, 'learning_rate': 0.001, 'random_state': 42, 'split': 0.8}",31.26464867591858,,,15.643794298171995,,,,,0.0,0.0,0.5,../../../../TimeEval_work_results/for_Oracle23_1/2024_07_10_19_53_18/results.csv,
DenoisingAutoEncoder (DAE),OBSEA,2023-02-18,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,4612c4e06ea4131330882ffd0a43444a,1,"{'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'latent_size': 32, 'learning_rate': 0.001, 'noise_ratio': 0.1, 'random_state': 42, 'split': 0.8}",21.29386305809021,,,13.585299015045166,,,,,0.0,0.0,0.5,../../../../TimeEval_work_results/for_Oracle23_1/2024_07_10_19_13_34/results.csv,
DenoisingAutoEncoder (DAE),OBSEA,2021-03-17,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,4612c4e06ea4131330882ffd0a43444a,1,"{'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'latent_size': 32, 'learning_rate': 0.001, 'noise_ratio': 0.1, 'random_state': 42, 'split': 0.8}",16.713399410247803,,,8.066423892974854,,,,,0.0,0.0,0.5,../../../../TimeEval_work_results/for_Oracle/2024_05_24_08_40_45/results.csv,
COPOD,OBSEA,2023-01-20_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,4293618dd12c59117ac7a434fda4220a,1,{'random_state': 42},,,,9.70239281654358,,,,,0.0,0.0,0.5,../../../../TimeEval_work_results/for_Oracle23_1/2024_07_10_18_37_13/results.csv,
AutoEncoder (AE),OBSEA,2023-01-03,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,dfdc9a9fdc00b09d9d188aaabfa8f91c,1,"{'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'latent_size': 32, 'learning_rate': 0.001, 'random_state': 42, 'split': 0.8}",18.704814910888672,,,7.623385190963745,,,,,0.0,0.0,0.5,../../../../TimeEval_work_results/for_Oracle23_1/2024_07_10_18_21_10/results.csv,
DenoisingAutoEncoder (DAE),OBSEA,2021-03-16,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,c8d37c7a26a5f51260539d3c90e37648,1,"{'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'latent_size': 22, 'learning_rate': 0.001, 'noise_ratio': 0.1, 'random_state': 42, 'split': 0.8}",15.757691144943236,,,7.825741529464722,,,,,0.0,0.0,0.5,../../../../TimeEval_work_results/for_Oracle/2024_05_24_08_40_45/results.csv,
DenoisingAutoEncoder (DAE),OBSEA,2023-02-17,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,c8d37c7a26a5f51260539d3c90e37648,1,"{'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'latent_size': 22, 'learning_rate': 0.001, 'noise_ratio': 0.1, 'random_state': 42, 'split': 0.8}",23.888569116592407,,,13.920581817626951,,,,,0.0,0.0,0.5,../../../../TimeEval_work_results/for_Oracle23_1/2024_07_10_19_13_34/results.csv,
DenoisingAutoEncoder (DAE),OBSEA,2021-03-18,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,bafd0b5bab66633b17924ba1c20b0398,1,"{'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'latent_size': 41, 'learning_rate': 0.001, 'noise_ratio': 0.1, 'random_state': 42, 'split': 0.8}",23.85762882232666,,,8.305140256881714,,,,,0.0,0.0,0.5,../../../../TimeEval_work_results/for_Oracle/2024_05_24_08_40_45/results.csv,
DenoisingAutoEncoder (DAE),OBSEA,2021-03-21,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,c8d37c7a26a5f51260539d3c90e37648,1,"{'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'latent_size': 22, 'learning_rate': 0.001, 'noise_ratio': 0.1, 'random_state': 42, 'split': 0.8}",21.29295039176941,,,8.675883531570435,,,,,0.0,0.0,0.5,../../../../TimeEval_work_results/for_Oracle/2024_05_24_08_40_45/results.csv,
COPOD,OBSEA,2023-09-05_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,4293618dd12c59117ac7a434fda4220a,1,{'random_state': 42},,,,12.75701379776001,,,,,0.0,0.0,0.5,../../../../TimeEval_work_results/for_Oracle23_1/2024_07_10_22_11_40/results.csv,
HBOS,OBSEA,2023-09-05_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,cf425e384a70a0bc760418d597d853dd,1,"{'n_bins': 20, 'random_state': 42}",,,,13.154712200164797,,,,,0.0,0.0,0.5,../../../../TimeEval_work_results/for_Oracle23_1/2024_07_10_22_11_40/results.csv,
LOF,OBSEA,2023-01-03_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,da57e09e2b4ad4d568a26dd67f170158,1,"{'distance_metric_order': 2, 'leaf_size': 20, 'n_jobs': 1, 'n_neighbors': 50, 'random_state': 42}",,,,10.347173690795898,,,,,0.0,0.0,0.5,../../../../TimeEval_work_results/for_Oracle23_1/2024_07_10_18_21_10/results.csv,
PCC,OBSEA,2023-01-03_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,6f4f0a7ce802ffdcb5a6590625043544,1,"{'random_state': 42, 'svd_solver': 'auto'}",,,,7.939881801605225,,,,,0.0,0.0,0.5,../../../../TimeEval_work_results/for_Oracle23_1/2024_07_10_18_21_10/results.csv,
AutoEncoder (AE),OBSEA,2023-04-16,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,b98f98446ffdbf7f8a0cb80942138c22,1,"{'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'latent_size': 22, 'learning_rate': 0.001, 'random_state': 42, 'split': 0.8}",40.85818290710449,,,17.535691022872925,,,,,0.0,0.0,0.5,../../../../TimeEval_work_results/for_Oracle23_1/2024_07_10_22_03_33/results.csv,
AutoEncoder (AE),OBSEA,2023-11-07,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,dfdc9a9fdc00b09d9d188aaabfa8f91c,1,"{'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'latent_size': 32, 'learning_rate': 0.001, 'random_state': 42, 'split': 0.8}",26.71746158599853,,,9.844071865081789,,,,,0.0,0.0,0.5,../../../../TimeEval_work_results/for_Oracle23_1/2024_07_11_05_26_23/results.csv,
CBLOF,OBSEA,2023-01-20_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,4af4d919471b6491e8bdcca811a5e413,1,"{'n_clusters': 50, 'n_jobs': 1, 'random_state': 42}",,,,20.465158224105835,,,,,0.0,0.0,0.5,../../../../TimeEval_work_results/for_Oracle23_1/2024_07_10_18_37_13/results.csv,
HBOS,OBSEA,2023-01-03_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,cf425e384a70a0bc760418d597d853dd,1,"{'n_bins': 20, 'random_state': 42}",,,,11.851308584213257,,,,,0.0,0.0,0.5,../../../../TimeEval_work_results/for_Oracle23_1/2024_07_10_18_21_10/results.csv,
CBLOF,OBSEA,2023-01-03_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,4af4d919471b6491e8bdcca811a5e413,1,"{'n_clusters': 50, 'n_jobs': 1, 'random_state': 42}",,,,14.506675004959106,,,,,0.0,0.0,0.5,../../../../TimeEval_work_results/for_Oracle23_1/2024_07_10_18_21_10/results.csv,
DenoisingAutoEncoder (DAE),OBSEA,2021-02-13,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,c8d37c7a26a5f51260539d3c90e37648,1,"{'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'latent_size': 22, 'learning_rate': 0.001, 'noise_ratio': 0.1, 'random_state': 42, 'split': 0.8}",18.313445329666138,,,7.8383948802948,,,,,0.0,0.0,0.5,../../../../TimeEval_work_results/for_Oracle/2024_05_24_08_40_45/results.csv,
COPOD,OBSEA,2023-01-03_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,4293618dd12c59117ac7a434fda4220a,1,{'random_state': 42},,,,10.74610424041748,,,,,0.0,0.0,0.5,../../../../TimeEval_work_results/for_Oracle23_1/2024_07_10_18_21_10/results.csv,
DenoisingAutoEncoder (DAE),OBSEA,2023-01-03,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,bafd0b5bab66633b17924ba1c20b0398,1,"{'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'latent_size': 41, 'learning_rate': 0.001, 'noise_ratio': 0.1, 'random_state': 42, 'split': 0.8}",21.583858489990234,,,8.75718069076538,,,,,0.0,0.0,0.5,../../../../TimeEval_work_results/for_Oracle23_1/2024_07_10_18_21_10/results.csv,
AutoEncoder (AE),OBSEA,2023-08-31,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,b98f98446ffdbf7f8a0cb80942138c22,1,"{'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'latent_size': 22, 'learning_rate': 0.001, 'random_state': 42, 'split': 0.8}",34.08897304534912,,,20.86003279685974,,,,,0.0,0.0,0.5,../../../../TimeEval_work_results/for_Oracle23_1/2024_07_11_02_41_19/results.csv,
DenoisingAutoEncoder (DAE),OBSEA,2023-02-01,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,4612c4e06ea4131330882ffd0a43444a,1,"{'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'latent_size': 32, 'learning_rate': 0.001, 'noise_ratio': 0.1, 'random_state': 42, 'split': 0.8}",20.37615180015564,,,10.927068948745728,,,,,0.0,0.0,0.5,../../../../TimeEval_work_results/for_Oracle23_1/2024_07_10_18_49_53/results.csv,
AutoEncoder (AE),OBSEA,2021-10-12,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,dc234b17555e618106e747494bd37087,1,"{'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'latent_size': 41, 'learning_rate': 0.001, 'random_state': 42, 'split': 0.8}",24.70007705688477,,,8.397422790527344,,,,,0.0,0.0,0.5,../../../../TimeEval_work_results/for_Oracle/2024_05_24_08_40_42/results.csv,
CBLOF,OBSEA,2023-03-15_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,4af4d919471b6491e8bdcca811a5e413,1,"{'n_clusters': 50, 'n_jobs': 1, 'random_state': 42}",,,,28.766912937164307,,,,,0.0,0.0,0.5,../../../../TimeEval_work_results/for_Oracle23_1/2024_07_10_19_24_20/results.csv,
AutoEncoder (AE),OBSEA,2021-09-18,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,dfdc9a9fdc00b09d9d188aaabfa8f91c,1,"{'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'latent_size': 32, 'learning_rate': 0.001, 'random_state': 42, 'split': 0.8}",19.850100994110107,,,8.389864921569824,,,,,0.0,0.0,0.5,../../../../TimeEval_work_results/for_Oracle/2024_05_24_08_40_42/results.csv,
AutoEncoder (AE),OBSEA,2023-01-22,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,b98f98446ffdbf7f8a0cb80942138c22,1,"{'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'latent_size': 22, 'learning_rate': 0.001, 'random_state': 42, 'split': 0.8}",33.19345474243164,,,12.596692323684692,,,,,0.0,0.0,0.5,../../../../TimeEval_work_results/for_Oracle23_1/2024_07_10_19_06_10/results.csv,
PCC,OBSEA,2023-06-28_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,6f4f0a7ce802ffdcb5a6590625043544,1,"{'random_state': 42, 'svd_solver': 'auto'}",,,,12.85484004020691,,,,,0.0,0.0,0.5,../../../../TimeEval_work_results/for_Oracle23_1/2024_07_10_21_09_29/results.csv,
AutoEncoder (AE),OBSEA,2023-04-30,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,b98f98446ffdbf7f8a0cb80942138c22,1,"{'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'latent_size': 22, 'learning_rate': 0.001, 'random_state': 42, 'split': 0.8}",33.1191508769989,,,11.510565519332886,,,,,0.0,0.0,0.5,../../../../TimeEval_work_results/for_Oracle23_1/2024_07_10_22_42_59/results.csv,
AutoEncoder (AE),OBSEA,2021-09-17,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,dc234b17555e618106e747494bd37087,1,"{'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'latent_size': 41, 'learning_rate': 0.001, 'random_state': 42, 'split': 0.8}",25.828851222991943,,,8.570425033569336,,,,,0.0,0.0,0.5,../../../../TimeEval_work_results/for_Oracle/2024_05_24_08_40_42/results.csv,
